Feature,Importance_Mean,Importance_Std
last5_avg_scheduled_rounds_diff,-0.0005549555374325073,0.0020262852222981257
a_last3_avg_ctrl_seconds_against,-0.0005662211838234639,0.0004947469685790375
b_avg_td_landed_against,-0.0005732418040381493,0.0006305739656981236
a_stance_code,-0.0005836910992413457,0.0003302618322467159
a_last5_avg_fight_seconds,-0.0005932424081380209,0.0011455766542626052
b_last5_avg_scheduled_rounds,-0.0006143859039007493,0.0017223300359319078
b_rw_avg_ctrl_seconds_for,-0.0006399376960773307,0.0011822473718483585
avg_kd_against_diff,-0.0006556932740008792,0.0007985724740709034
a_rw_avg_sig_landed_for,-0.0006593668543457702,0.0010041904935007184
b_rw_avg_sig_landed_for,-0.0007007558595646909,0.0009201868582928631
b_height,-0.0007053274262161476,0.00025827937633841343
rw_avg_finish_win_flag_diff,-0.0007564310105693028,0.0004388176119386373
a_rw_avg_decision_loss_flag,-0.0007856563830907086,0.0007962094733603921
b_last_fight_fight_seconds,-0.0007984730967383798,0.00039785839761127763
a_last_fight_sig_landed_for,-0.0008124327020489523,0.0006370135150731066
a_rw_avg_decision_win_flag,-0.0008308822388920796,0.0003327439429962909
last3_avg_td_landed_against_diff,-0.0008445153037275037,0.0008430918814901562
finishing_durability_diff,-0.0008465561816968744,0.0004616334237091896
b_reach_height_gap,-0.0008914554970231266,0.0015494311134558406
b_grappling_offense,-0.0008968434148623213,0.0006676656040554093
a_physical,-0.0009159460326556419,0.0013560089124548733
b_last_fight_td_landed_for,-0.0009587228348937623,0.0006826526810495807
last5_avg_td_landed_against_diff,-0.000959702456319067,0.0009575558769233373
a_last3_avg_fight_seconds,-0.0009861522348021698,0.0007022877157836434
b_last5_avg_fight_seconds,-0.0010258269025268088,0.0011573077235626943
reach_height_gap_diff,-0.0010891757546962403,0.0011439513085953258
a_avg_ctrl_seconds_against,-0.001206567055494719,0.0006604588873189031
a_rw_avg_sub_att_against,-0.0012258329435255917,0.0005881772294317514
a_reach,-0.0013736741436271608,0.0009695180205692359
rw_avg_decision_loss_flag_diff,-0.0013974299631907216,0.0009851715039828656
b_last_fight_sig_landed_against,-0.0014194714452599418,0.0005845836990416275
reach_diff,-0.0014247777279803235,0.0012042389154589296
rw_avg_ctrl_seconds_for_diff,-0.0016041300839290415,0.001129349214495176
avg_sig_landed_for_diff,-0.00173621570610701,0.0016694936579724976
