fight_id,fight_date,a_fighter_name,b_fighter_name,a_prior_fights,b_prior_fights,a_prior_win_rate,b_prior_win_rate,predicted_side,predicted_winner,actual_winner,predicted_correct,chosen_odds,edge,bet_placed,profit_units
4a704dae3091adaf,2021-02-27,Ciryl Gane,Jairzinho Rozenstruik,9,13,1.0,0.7692,a,Ciryl Gane,Ciryl Gane,1,2.85,0.6491,1,1.85
6a0341234ecc4e87,2021-02-27,Kevin Croom,Alex Caceres,1,45,0.0,0.5556,b,Alex Caceres,Alex Caceres,1,1.6667,-0.0444,0,0.0
a7315147a7022a93,2021-02-27,Alexis Davis,Sabina Mazo,22,8,0.5455,0.75,b,Sabina Mazo,Alexis Davis,0,1.4651,0.0675,1,-1.0
a7315147a7022a93,2021-02-27,Sabina Mazo,Alexis Davis,9,23,0.6667,0.5652,a,Sabina Mazo,Alexis Davis,0,2.78,0.307,1,-1.0
bc86601cf781a89c,2021-02-27,Dustin Jacoby,Maxim Grishin,6,4,0.3333,0.5,b,Maxim Grishin,Dustin Jacoby,0,1.6369,-0.1109,0,0.0
bc86601cf781a89c,2021-02-27,Maxim Grishin,Dustin Jacoby,5,7,0.4,0.4286,b,Dustin Jacoby,Dustin Jacoby,1,1.6369,-0.1823,0,0.0
c2ee423d1f0b4f6f,2021-02-27,Pedro Munhoz,Jimmie Rivera,26,20,0.6154,0.7,b,Jimmie Rivera,Pedro Munhoz,0,1.7407,0.1255,1,-1.0
c2ee423d1f0b4f6f,2021-02-27,Jimmie Rivera,Pedro Munhoz,21,27,0.6667,0.6296,a,Jimmie Rivera,Pedro Munhoz,0,2.15,0.2016,1,-1.0
04a788abbbd1f256,2021-03-06,Thiago Santos,Aleksandar Rakic,40,12,0.65,0.8333,b,Aleksandar Rakic,Aleksandar Rakic,1,2.6,0.4487,1,1.6
04a788abbbd1f256,2021-03-06,Aleksandar Rakic,Thiago Santos,13,41,0.8462,0.6341,a,Aleksandar Rakic,Aleksandar Rakic,1,1.5405,0.197,1,0.5405
15c9cb5f9320c555,2021-03-06,Petr Yan,Aljamain Sterling,14,28,1.0,0.7857,a,Petr Yan,Aljamain Sterling,0,2.02,0.505,1,-1.0
15c9cb5f9320c555,2021-03-06,Aljamain Sterling,Petr Yan,29,15,0.7931,0.9333,b,Petr Yan,Aljamain Sterling,0,1.8197,0.3838,1,-1.0
2704d31de2c2f43b,2021-03-06,Tim Elliott,Jordan Espinosa,28,10,0.3571,0.4,b,Jordan Espinosa,Tim Elliott,0,1.6452,-0.2078,0,0.0
2704d31de2c2f43b,2021-03-06,Jordan Espinosa,Tim Elliott,11,29,0.3636,0.3793,b,Tim Elliott,Tim Elliott,1,1.6452,-0.2285,0,0.0
50ef636148fa6fac,2021-03-06,Livinha Souza,Amanda Lemos,8,6,0.75,0.6667,a,Livinha Souza,Amanda Lemos,0,1.4167,0.0441,1,-1.0
50ef636148fa6fac,2021-03-06,Amanda Lemos,Livinha Souza,7,9,0.7143,0.6667,a,Amanda Lemos,Amanda Lemos,1,1.4167,0.0084,0,0.0
5980ab31e4718a83,2021-03-06,Song Yadong,Kyler Phillips,10,4,1.0,1.0,a,Song Yadong,Kyler Phillips,0,2.8,0.6429,1,-1.0
5980ab31e4718a83,2021-03-06,Kyler Phillips,Song Yadong,5,11,1.0,0.9091,a,Kyler Phillips,Kyler Phillips,1,2.8,0.6429,1,1.8
7ad09f889d2cdb6f,2021-03-06,Sean Brady,Jake Matthews,6,28,1.0,0.7143,a,Sean Brady,Sean Brady,1,1.4545,0.3125,1,0.4545
7ad09f889d2cdb6f,2021-03-06,Jake Matthews,Sean Brady,29,7,0.6897,1.0,b,Sean Brady,Sean Brady,1,2.8,0.6429,1,1.8
7de9867b7cc2b1b1,2021-03-06,Jan Blachowicz,Israel Adesanya,30,18,0.6667,1.0,b,Israel Adesanya,Jan Blachowicz,0,3.05,0.6721,1,-1.0
7de9867b7cc2b1b1,2021-03-06,Israel Adesanya,Jan Blachowicz,19,31,0.9474,0.6774,a,Israel Adesanya,Jan Blachowicz,0,1.4082,0.2372,1,-1.0
873306ad79b62f5e,2021-03-06,Rogerio Bontorin,Kai Kara-France,6,12,0.6667,0.6667,a,Rogerio Bontorin,Kai Kara-France,0,2.17,0.2058,1,-1.0
873306ad79b62f5e,2021-03-06,Kai Kara-France,Rogerio Bontorin,13,7,0.6923,0.5714,a,Kai Kara-France,Kai Kara-France,1,2.17,0.2315,1,1.17
ae5d14a9fc1ad19c,2021-03-06,Joseph Benavidez,Askar Askarov,40,4,0.75,1.0,b,Askar Askarov,Askar Askarov,1,1.6897,0.4082,1,0.6897
ae5d14a9fc1ad19c,2021-03-06,Askar Askarov,Joseph Benavidez,5,41,1.0,0.7317,a,Askar Askarov,Askar Askarov,1,2.25,0.5556,1,1.25
